[ 2016-06-19T19:16:43+08:00 ]EXCEPTION: SELECT  *  FROM goods WHERE is_bout=1 ORDER BY  sendtime ASC  LIMIT 4 ;BindParams:array (
)42S22;1054;Unknown column 'sendtime' in 'order clause'
[ 2016-06-19T20:43:14+08:00 ]NOTICE: Undefined variable: abE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (406).
[ 2016-06-19T20:43:14+08:00 ]NOTICE: Undefined variable: abE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (409).
[ 2016-06-19T20:44:24+08:00 ]NOTICE: Undefined index: clidE:\wamp\www\Mall\App\Home\Controller\ContentController.php (17).
[ 2016-06-19T22:35:09+08:00 ]NOTICE: Undefined variable: vabfE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (393).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (443).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:47:25+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (443).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:48:27+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (453).
[ 2016-06-19T22:50:08+08:00 ]NOTICE: Undefined variable: vabhE:\wamp\www\Mall\Storage\view\compile\0c28e7150ba5d668f4a1564650d3d0d8.php (443).
